Date,Distance,Job,Tax Deduction Value,Record Type,Details
06/12/2017,137.60 mi,,$73.62,automatic,"34179 Tony Ter, Fremont, CA, US - 34179 Tony Terrace, Fremont, CA, 94555, US"
06/12/2017,100.75 mi,,$53.90,automatic,"34179 Tony Ter, Fremont, CA, US - 5413-5423 Delia Terrace, Fremont, CA, 94555, US"
06/13/2017,205.26 mi,,$109.81,automatic,"34187 Tony Ter, Fremont, CA, US - 34178 Gannon Terrace, Fremont, CA, 94555, US"
06/15/2017,222.63 mi,,$119.11,automatic,"34179 Tony Ter, Fremont, CA, US - 1052-1098 Taylor St, San Francisco, CA, 94108, US"
06/16/2017,202.33 mi,,$108.25,automatic,"34187 Tony Ter, Fremont, CA, US - 38799 Paseo Padre Pkwy, Fremont, CA, 94536, US"
06/17/2017,125.42 mi,,$67.10,automatic,"34179 Tony Ter, Fremont, CA, US - 34158-34190 Tony Terrace, Fremont, CA, 94555, US"
06/19/2017,287.01 mi,,$153.55,automatic,"34179 Tony Ter, Fremont, CA, US - 34158-34190 Tony Terrace, Fremont, CA, 94555, US"
06/20/2017,206.57 mi,,$110.51,automatic,"34187 Tony Ter, Fremont, CA, US"
06/21/2017,211.90 mi,,$113.37,automatic,"34187 Tony Ter, Fremont, CA, US - 34186-34194 Gannon Terrace, Fremont, CA, 94555, US"
06/22/2017,110.34 mi,,$59.03,automatic,"34179 Tony Ter, Fremont, CA, US - 34158-34190 Tony Terrace, Fremont, CA, 94555, US"
06/22/2017,102.97 mi,,$55.09,automatic,"34195 Tony Ter, Fremont, CA, US - 34158-34190 Tony Terrace, Fremont, CA, 94555, US"
06/23/2017,85.60 mi,,$45.80,automatic,"34190 Tony Ter, Fremont, CA, US - 10 Valencia St, San Francisco, CA, 94103, US"
06/26/2017,92.39 mi,,$49.43,automatic,"CA-84 W, Fremont, CA, US - 34187 Tony Terrace, Fremont, CA, 94555, US"
07/01/2017,61.54 mi,,$32.92,automatic,"US-101 N, South San Francisco, CA, United States - 34171 Tony Ter, Fremont, CA, United States"
07/03/2017,144.76 mi,,$77.45,automatic,"34179 Tony Ter, Fremont, CA, United States - Geary Ter, Fremont, CA, United States"
07/04/2017,154.85 mi,,$82.85,automatic,"Bayfront Expy, Menlo Park, CA, United States - Commerce Dr, Fremont, CA, United States"
07/13/2017,50.34 mi,,$26.93,automatic,"Ocean St, Santa Cruz, CA, United States - 34179 Tony Ter, Fremont, CA, United States"
